2018-03-29,73.8
2018-04-02,74.6
2018-04-03,74.6
2018-04-04,74.5
2018-04-05,74.6
2018-04-06,74.1
2018-04-07,74.1
2018-04-08,74.1
2018-04-09,75
2018-04-10,74.6
2018-04-11,74.2
2018-05-07,74.4
2018-05-08,75.4
2018-05-09,74.2
2018-05-10,75.1
2018-05-11,75
2018-05-12,75.6
2018-05-13,75.1
2018-05-14,74.7
2018-05-15,75.3
2018-05-16,75.3
2018-05-17,75
2018-05-18,74.8
2018-05-19,74.4
2018-05-20,74.4
2018-06-09,75
2018-06-12,74.4
2018-07-08,74.6
2018-07-20,73.7
2018-07-21,74.3
2018-07-22,74.6
2018-07-23,75.1
2018-07-24,74.6
2018-08-12,74.6
2018-08-27,75
2018-08-28,74.5
2018-08-29,74.6
2018-08-30,75.2
2018-08-31,75.9
2018-09-01,75.4
2018-09-02,75.1
2018-09-03,74.8
2018-09-04,74.9
2018-09-05,74.2
2018-09-06,74.1
2018-09-07,74.7
2018-09-08,74.5
2018-09-09,74.5
2018-10-04,74.3
2018-10-06,74.1
2018-10-07,74.9
2018-10-08,74.1
2018-10-28,74
2018-10-29,74.1
2018-10-30,73.7
2018-10-31,73.5
2018-11-01,73.7
2018-11-21,73.7
2018-11-22,73.8
2018-11-23,73.9
2018-11-24,74.5
2018-11-25,74.3
2018-11-26,74.1
2018-11-27,74
2018-12-02,74.3
2018-12-01,74.2
2018-12-03,73.7
2018-12-08,74
2018-12-14,73.9
2018-12-20,74.5
2018-12-21,74.7
2018-12-31,75.1
2016-04-20,75.9
2016-04-21,75.3
2016-04-22,75.4
2016-04-23,75.3
2016-04-24,75.5
2016-04-25,75.1
2016-04-26,75.4
2016-04-27,75.5
2016-04-28,74.8
2016-04-30,75.1
2016-05-01,75.7
2016-05-02,75.1
2016-05-03,75.7
2016-05-04,75.9
2016-05-05,75.6
2016-05-06,76.1
2016-05-07,75.9
2016-05-08,76.3
2016-05-09,76.6
2016-05-10,75.7
2016-05-11,76.1
2016-05-12,76
2016-05-13,76
2016-05-14,76.3
2016-05-15,75.4
2016-05-16,75.6
2016-05-17,75.8
2016-05-18,76.7
2016-05-19,76.5
2016-05-20,76.5
2016-05-21,76.9
2016-05-22,76.7
2016-05-23,77
2016-05-24,77.2
2016-05-25,76.7
2016-05-26,76.6
2016-05-27,76.3
2016-05-28,76.9
2016-05-29,77.1
2016-05-30,77.3
2016-05-31,76.8
2016-06-01,76.9
2016-06-02,77.5
2016-06-03,77.5
2016-06-04,77.5
2016-06-05,78.2
2016-06-06,78.2
2016-06-07,77.8
2016-06-08,78
2016-06-09,77.1
2016-06-10,76.8
2016-06-11,76.8
2016-06-12,77.4
2016-06-13,76.9
2016-06-14,75.4
2016-06-16,76.5
2016-06-17,76.5
2016-06-18,76.4
2016-06-19,75.6
2016-06-20,75.5
2016-06-21,75.4
2017-05-23,78.2
2017-05-24,78
2017-05-25,78
2017-05-26,77.1
2017-05-27,76.8
2017-05-28,77.7
2017-05-29,77.5
2017-05-30,78
2017-05-31,77.8
2017-06-01,77.8
2017-06-03,78
2017-06-04,77.7
2017-06-05,78.8
2017-06-06,78.6
2017-07-03,76.8
2017-07-04,76.5
2017-07-05,75.6
2017-07-06,75
2017-07-07,74.4
2017-07-08,75.4
2017-07-09,75.3
2017-07-10,75.9
2017-07-11,75.7
2017-07-28,73.7
2017-07-29,74
2017-07-30,75.6
2017-07-31,74.9
